Entity,Code,Year,Productivity: output per hour worked
Jamaica,JAM,1994,7.858575
Jamaica,JAM,1995,7.676884
Jamaica,JAM,1996,7.796191
Jamaica,JAM,1997,7.8006964
Jamaica,JAM,1998,7.818909
Jamaica,JAM,1999,8.219032
Jamaica,JAM,2000,8.493388
Jamaica,JAM,2001,8.421036
Jamaica,JAM,2002,7.7089267
Japan,JPN,1950,2.9542785
Japan,JPN,1951,3.2141197
Japan,JPN,1952,3.4887261
Japan,JPN,1953,3.5962312
Japan,JPN,1954,3.682381
Japan,JPN,1955,3.8038588
Japan,JPN,1956,3.887944
Japan,JPN,1957,4.009947
Japan,JPN,1958,4.2339463
Japan,JPN,1959,4.5437784
Japan,JPN,1960,4.9748535
Japan,JPN,1961,5.437169
Japan,JPN,1962,5.9444823
Japan,JPN,1963,6.4009037
Japan,JPN,1964,7.006454
Japan,JPN,1965,7.3866434
Japan,JPN,1966,7.951002
Japan,JPN,1967,8.553841
Japan,JPN,1968,9.457534
Japan,JPN,1969,10.59508
Japan,JPN,1970,11.621735
Japan,JPN,1971,12.264989
Japan,JPN,1972,13.288109
Japan,JPN,1973,14.12886
Japan,JPN,1974,14.498506
Japan,JPN,1975,15.430777
Japan,JPN,1976,16.110264
Japan,JPN,1977,16.94812
Japan,JPN,1978,18.015442
Japan,JPN,1979,18.977034
Japan,JPN,1980,19.919168
Japan,JPN,1981,19.794418
Japan,JPN,1982,19.3592
Japan,JPN,1983,18.713303
Japan,JPN,1984,18.601988
Japan,JPN,1985,19.199963
Japan,JPN,1986,20.806864
Japan,JPN,1987,22.112892
Japan,JPN,1988,24.090681
Japan,JPN,1989,25.69327
Japan,JPN,1990,27.704779
Japan,JPN,1991,29.11402
Japan,JPN,1992,30.590227
Japan,JPN,1993,31.973555
Japan,JPN,1994,33.269157
Japan,JPN,1995,34.962364
Japan,JPN,1996,36.679893
Japan,JPN,1997,37.125977
Japan,JPN,1998,37.549026
Japan,JPN,1999,38.38752
Japan,JPN,2000,39.46904
Japan,JPN,2001,39.568127
Japan,JPN,2002,40.303066
Japan,JPN,2003,40.888096
Japan,JPN,2004,41.53163
Japan,JPN,2005,42.49986
Japan,JPN,2006,42.47058
Japan,JPN,2007,43.1645
Japan,JPN,2008,42.903145
Japan,JPN,2009,42.11367
Japan,JPN,2010,43.54393
Japan,JPN,2011,42.942596
Japan,JPN,2012,42.834938
Japan,JPN,2013,43.479416
Japan,JPN,2014,42.72143
Japan,JPN,2015,43.800053
Japan,JPN,2016,42.68171
Japan,JPN,2017,42.422935
Japan,JPN,2018,41.73783
Japan,JPN,2019,42.56412
Latvia,LVA,1995,12.985339
Latvia,LVA,1996,12.997838
Latvia,LVA,1997,12.715266
Latvia,LVA,1998,13.3560705
Latvia,LVA,1999,14.04626
Latvia,LVA,2000,15.379379
Latvia,LVA,2001,16.111881
Latvia,LVA,2002,16.826601
Latvia,LVA,2003,17.188547
Latvia,LVA,2004,18.271309
Latvia,LVA,2005,20.249609
Latvia,LVA,2006,20.295149
Latvia,LVA,2007,21.64383
Latvia,LVA,2008,21.668264
Latvia,LVA,2009,22.450373
Latvia,LVA,2010,24.840263
Latvia,LVA,2011,26.467049
Latvia,LVA,2012,27.315512
Latvia,LVA,2013,26.652649
Latvia,LVA,2014,27.709826
Latvia,LVA,2015,28.915426
Latvia,LVA,2016,29.639683
Latvia,LVA,2017,31.568642
Latvia,LVA,2018,32.110943
Latvia,LVA,2019,33.538006
Lithuania,LTU,1995,13.423672
Lithuania,LTU,1996,13.824675
Lithuania,LTU,1997,14.269204
Lithuania,LTU,1998,14.452004
Lithuania,LTU,1999,15.718054
Lithuania,LTU,2000,16.39442
Lithuania,LTU,2001,18.375858
Lithuania,LTU,2002,18.405815
Lithuania,LTU,2003,20.024971
Lithuania,LTU,2004,19.407793
Lithuania,LTU,2005,21.624893
Lithuania,LTU,2006,23.029945
Lithuania,LTU,2007,24.129486
Lithuania,LTU,2008,25.523405
Lithuania,LTU,2009,24.81404
Lithuania,LTU,2010,27.068996
Lithuania,LTU,2011,30.08933
Lithuania,LTU,2012,31.269558
Lithuania,LTU,2013,31.211437
Lithuania,LTU,2014,31.880714
Lithuania,LTU,2015,31.018784
Lithuania,LTU,2016,30.58074
Lithuania,LTU,2017,32.991947
Lithuania,LTU,2018,33.26906
Lithuania,LTU,2019,34.452484
Luxembourg,LUX,1970,30.716282
Luxembourg,LUX,1971,28.825438
Luxembourg,LUX,1972,30.601368
Luxembourg,LUX,1973,34.103073
Luxembourg,LUX,1974,36.01707
Luxembourg,LUX,1975,31.312027
Luxembourg,LUX,1976,33.031868
Luxembourg,LUX,1977,33.72716
Luxembourg,LUX,1978,36.06394
Luxembourg,LUX,1979,37.512104
Luxembourg,LUX,1980,38.17537
Luxembourg,LUX,1981,37.159145
Luxembourg,LUX,1982,37.68731
Luxembourg,LUX,1983,37.759834
Luxembourg,LUX,1984,37.386055
Luxembourg,LUX,1985,36.574913
Luxembourg,LUX,1986,41.333984
Luxembourg,LUX,1987,41.482628
Luxembourg,LUX,1988,44.091885
Luxembourg,LUX,1989,47.893295
Luxembourg,LUX,1990,48.39339
Luxembourg,LUX,1991,52.240227
Luxembourg,LUX,1992,52.31414
Luxembourg,LUX,1993,54.948154
Luxembourg,LUX,1994,57.205894
Luxembourg,LUX,1995,55.88858
Luxembourg,LUX,1996,55.281155
Luxembourg,LUX,1997,58.60165
Luxembourg,LUX,1998,61.02755
Luxembourg,LUX,1999,65.29109
Luxembourg,LUX,2000,68.86972
Luxembourg,LUX,2001,62.06307
Luxembourg,LUX,2002,59.05566
Luxembourg,LUX,2003,56.653072
Luxembourg,LUX,2004,51.67782
Luxembourg,LUX,2005,64.665146
Luxembourg,LUX,2006,61.935383
Luxembourg,LUX,2007,62.911896
Luxembourg,LUX,2008,59.389694
Luxembourg,LUX,2009,56.49086
Luxembourg,LUX,2010,63.204834
Luxembourg,LUX,2011,61.924755
Luxembourg,LUX,2012,64.0331
Luxembourg,LUX,2013,61.830307
Luxembourg,LUX,2014,71.58993
Luxembourg,LUX,2015,76.55745
Luxembourg,LUX,2016,80.007385
Luxembourg,LUX,2017,83.16536
Luxembourg,LUX,2018,79.94896
Luxembourg,LUX,2019,80.32644
Malaysia,MYS,1970,5.2937045
Malaysia,MYS,1971,6.261472
Malaysia,MYS,1972,6.5417657
Malaysia,MYS,1973,7.150495
Malaysia,MYS,1974,7.6739383
Malaysia,MYS,1975,7.207733
Malaysia,MYS,1976,7.777414
Malaysia,MYS,1977,8.145012
Malaysia,MYS,1978,8.404568
Malaysia,MYS,1979,8.814994
Malaysia,MYS,1980,9.33851
Malaysia,MYS,1981,9.436366
Malaysia,MYS,1982,9.71564
Malaysia,MYS,1983,9.9348135
Malaysia,MYS,1984,10.503425
Malaysia,MYS,1985,9.611052
Malaysia,MYS,1986,8.741961
Malaysia,MYS,1987,9.061251
Malaysia,MYS,1988,9.595155
Malaysia,MYS,1989,10.225831
Malaysia,MYS,1990,10.988868
Malaysia,MYS,1991,11.859501
