Country,Adults,Mean,Median,Ten,Hundred,Hundredthou,Mil,Gini
St. Vincent and the Grenadines,79.00,18887.00,5823.00,66.90,30.20,2.80,0.10,81.30
Suriname,387.00,8060.00,1547.00,89.50,9.20,1.30,0.00,88.60
Sweden,7829.00,381968.00,95051.00,33.90,17.20,41.20,7.80,88.10
Switzerland,7003.00,696604.00,168084.00,11.90,32.70,39.00,16.40,77.20
Syria,11449.00,1562.00,556.00,97.60,2.30,0.10,0.00,77.80
Taiwan,19733.00,297864.00,113938.00,13.10,33.30,49.20,4.40,70.70
Tajikistan,5337.00,4597.00,1938.00,91.70,8.00,0.30,0.00,72.80
Tanzania,28690.00,4260.00,1671.00,93.30,6.40,0.20,0.00,74.40
Thailand,54411.00,24638.00,8662.00,53.60,43.80,2.50,0.20,77.10
Timor-Leste,708.00,5849.00,3257.00,88.80,10.80,0.30,0.00,62.70
Togo,4207.00,1518.00,488.00,97.80,2.10,0.10,0.00,81.50
Tonga,59.00,44014.00,15409.00,42.10,50.90,6.60,0.40,77.70
Trinidad and Tobago,1037.00,49567.00,21049.00,40.70,49.70,9.30,0.30,75.70
Tunisia,8294.00,20981.00,7384.00,61.20,35.30,3.40,0.10,78.00
Turkey,58575.00,19496.00,5964.00,68.40,29.20,2.30,0.10,81.00
Turkmenistan,3782.00,20588.00,9168.00,53.60,43.60,2.70,0.10,70.50
Uganda,20620.00,2387.00,664.00,96.00,3.90,0.10,0.00,82.80
Ukraine,34382.00,19742.00,4987.00,76.70,21.20,2.00,0.20,83.40
United Arab Emirates,8092.00,122841.00,23055.00,44.50,45.80,7.40,2.20,88.50
United Kingdom,52562.00,309375.00,141552.00,17.60,26.90,50.20,5.40,70.60
United States of America,251779.00,579051.00,93271.00,22.80,29.40,38.00,9.70,85.00
Uruguay,2545.00,57726.00,22519.00,39.60,50.10,9.90,0.40,77.40
Vanuatu,165.00,16374.00,4953.00,73.50,23.20,3.30,0.10,81.40
